id,antecedent_name,consequent_name,created_at,status
1751,blaze_the_cat,sonic_the_hedgehog_(series),2012-03-10 12:23:00.281403,active
1754,maid_marian,robin_hood_(disney),2012-03-11 09:07:02.876575,deleted
1767,cheetah,feline,2012-03-21 05:46:40.252373,active
1768,binky_(artist),avoid_posting,2012-03-21 08:26:38.64557,active
1770,jon_talbain,darkstalkers,2012-03-22 10:26:56.720264,active
1777,jockstrap,underwear,2012-03-27 09:26:37.225932,active
1781,zody,avoid_posting,2012-03-28 22:28:06.263328,active
1782,gumball_watterson,the_amazing_world_of_gumball,2012-03-29 03:59:40.679989,active
1783,nicole_watterson,the_amazing_world_of_gumball,2012-03-29 04:00:01.238776,active
1786,arm_markings,markings,2012-03-31 12:24:55.511628,active
1787,leg_markings,markings,2012-03-31 12:25:18.230539,active
1788,tail_markings,markings,2012-03-31 12:25:33.83543,active
1790,flower_in_hair,flower,2012-04-02 08:50:54.090681,active
1791,nekomata_neko,avoid_posting,2012-04-02 15:13:26.248995,active
1792,shark,fish,2012-04-03 12:58:10.142949,active
1793,brian_griffin,family_guy,2012-04-03 21:30:30.64642,active
1796,heartcatch_precure!,pretty_cure,2012-04-07 15:29:39.363184,active
1798,animated_skeleton,skeleton,2012-04-08 11:35:11.352162,active
1799,airplane,aircraft,2012-04-08 23:04:21.747969,active
1800,airship,aircraft,2012-04-09 19:12:37.490335,active
1801,hot_air_balloon,aircraft,2012-04-09 19:12:48.673624,active
1802,helicopter,aircraft,2012-04-09 19:13:00.513628,active
1804,cum_on_balls,cum,2012-04-09 22:20:04.143946,active
1805,cum_on_balls,balls,2012-04-09 22:20:18.484409,active
1806,crab,decapod,2012-04-10 01:36:42.264201,deleted
1807,lobster,decapod,2012-04-10 01:36:48.105969,deleted
1809,merveille_million,solatorobo,2012-04-11 01:34:59.187837,active
1810,iphone,smartphone,2012-04-11 11:31:24.519295,active
1811,ghost,spirit,2012-04-11 15:31:16.33097,active
1812,cum_covered,messy,2012-04-11 16:21:58.636613,active
1813,paper_hat,hat,2012-04-15 09:38:22.926843,active
1814,sepia,monochrome,2012-04-15 12:28:30.732273,active
1817,flaccid,penis,2012-04-19 23:46:52.86296,active
1819,tatious,avoid_posting,2012-04-30 08:38:19.940779,active
1822,callie_briggs,swat_kats,2012-05-12 18:53:55.417523,active
1823,xenomorph,alien,2012-05-13 17:18:18.187795,active
1825,talespin,disney,2012-05-13 17:20:46.142386,active
1826,luvythicus,avoid_posting,2012-05-15 20:20:59.284468,deleted
